Date,Open,High,Low,Close,Adj Close,Volume
2005-02-09,"2,088.52","2,089.38","2,051.00","2,052.55","2,052.55","1,958,810,000"
2005-02-08,"2,082.11","2,095.64","2,080.42","2,086.68","2,086.68","1,943,560,000"
2005-02-07,"2,086.55","2,091.17","2,075.41","2,082.03","2,082.03","1,698,460,000"
2005-02-04,"2,056.47","2,086.72","2,056.29","2,086.66","2,086.66","1,941,510,000"
2005-02-03,"2,065.44","2,066.93","2,049.25","2,057.64","2,057.64","1,962,750,000"
2005-02-02,"2,074.06","2,079.58","2,064.20","2,075.06","2,075.06","1,965,550,000"
2005-02-01,"2,063.27","2,071.52","2,058.66","2,068.70","2,068.70","1,904,570,000"
2005-01-31,"2,053.47","2,063.18","2,053.47","2,062.41","2,062.41","1,823,800,000"
2005-01-28,"2,052.54","2,055.13","2,024.36","2,035.83","2,035.83","2,098,150,000"
2005-01-27,"2,042.77","2,053.94","2,036.09","2,047.15","2,047.15","2,106,220,000"
2005-01-26,"2,034.69","2,049.34","2,028.19","2,046.09","2,046.09","2,105,070,000"
2005-01-25,"2,022.08","2,037.18","2,017.58","2,019.95","2,019.95","2,003,630,000"
2005-01-24,"2,040.13","2,043.97","2,008.68","2,008.70","2,008.70","2,134,680,000"
2005-01-21,"2,053.15","2,058.00","2,032.88","2,034.27","2,034.27","2,043,770,000"
2005-01-20,"2,056.38","2,065.59","2,045.88","2,045.88","2,045.88","2,231,360,000"
2005-01-19,"2,105.74","2,105.84","2,072.20","2,073.59","2,073.59","2,217,700,000"
2005-01-18,"2,081.86","2,106.19","2,078.04","2,106.04","2,106.04","1,983,840,000"
2005-01-14,"2,079.47","2,088.58","2,075.47","2,087.91","2,087.91","2,084,860,000"
2005-01-13,"2,093.54","2,094.80","2,067.94","2,070.56","2,070.56","2,111,610,000"
2005-01-12,"2,089.70","2,093.44","2,066.79","2,092.53","2,092.53","2,257,670,000"
2005-01-11,"2,089.07","2,090.62","2,072.62","2,079.62","2,079.62","2,210,240,000"
2005-01-10,"2,087.62","2,111.43","2,086.66","2,097.04","2,097.04","2,098,270,000"
2005-01-07,"2,099.95","2,103.39","2,076.69","2,088.61","2,088.61","2,191,910,000"
2005-01-06,"2,098.51","2,103.90","2,088.03","2,090.00","2,090.00","2,174,220,000"
2005-01-05,"2,102.90","2,116.75","2,091.24","2,091.24","2,091.24","2,375,380,000"
2005-01-04,"2,158.31","2,159.64","2,100.56","2,107.86","2,107.86","2,690,460,000"
2005-01-03,"2,184.75","2,191.60","2,148.72","2,152.15","2,152.15","2,193,130,000"
2004-12-31,"2,178.98","2,185.56","2,174.63","2,175.44","2,175.44","1,366,460,000"
2004-12-30,"2,177.47","2,182.37","2,176.40","2,178.34","2,178.34","1,403,140,000"
2004-12-29,"2,170.99","2,182.33","2,170.99","2,177.00","2,177.00","1,503,880,000"
2004-12-28,"2,156.75","2,177.19","2,156.53","2,177.19","2,177.19","1,587,550,000"
2004-12-27,"2,168.82","2,171.94","2,147.59","2,154.22","2,154.22","1,478,700,000"
2004-12-23,"2,153.31","2,168.78","2,153.31","2,160.62","2,160.62","1,430,770,000"
2004-12-22,"2,145.99","2,163.48","2,145.18","2,157.03","2,157.03","1,802,760,000"
2004-12-21,"2,134.75","2,151.71","2,133.34","2,150.91","2,150.91","1,972,860,000"
2004-12-20,"2,142.21","2,154.48","2,124.22","2,127.85","2,127.85","1,991,460,000"
2004-12-17,"2,142.71","2,150.85","2,135.05","2,135.20","2,135.20","2,423,080,000"
2004-12-16,"2,159.96","2,164.80","2,138.81","2,146.15","2,146.15","2,396,220,000"
2004-12-15,"2,159.68","2,171.27","2,151.31","2,162.55","2,162.55","2,337,590,000"
2004-12-14,"2,145.05","2,163.50","2,145.05","2,159.84","2,159.84","2,228,670,000"
2004-12-13,"2,141.20","2,148.50","2,132.19","2,148.50","2,148.50","2,070,980,000"
2004-12-10,"2,121.15","2,134.60","2,120.33","2,128.07","2,128.07","1,794,840,000"
2004-12-09,"2,109.55","2,134.23","2,097.86","2,129.01","2,129.01","2,284,150,000"
2004-12-08,"2,118.14","2,130.76","2,110.57","2,126.11","2,126.11","2,390,860,000"
2004-12-07,"2,154.13","2,161.30","2,114.65","2,114.66","2,114.66","2,671,520,000"
2004-12-06,"2,145.43","2,157.43","2,138.21","2,151.25","2,151.25","2,150,250,000"
2004-12-03,"2,153.29","2,164.63","2,145.72","2,147.96","2,147.96","2,410,930,000"
2004-12-02,"2,133.95","2,156.14","2,131.65","2,143.57","2,143.57","2,401,610,000"
2004-12-01,"2,104.58","2,138.32","2,104.58","2,138.23","2,138.23","2,281,640,000"
2004-11-30,"2,104.67","2,107.45","2,096.81","2,096.81","2,096.81","1,878,760,000"
2004-11-29,"2,110.91","2,117.89","2,090.35","2,106.87","2,106.87","1,844,330,000"
2004-11-26,"2,101.81","2,110.38","2,101.81","2,101.97","2,101.97","667,760,000"
2004-11-24,"2,091.79","2,103.80","2,090.20","2,102.54","2,102.54","1,638,170,000"
2004-11-23,"2,082.47","2,092.02","2,068.98","2,084.28","2,084.28","2,057,620,000"
